key,ES,EN,FR
systolicModalSetup_High_content,La tensión sistólica es muy alta para asegurar el riesgo. Debe introducir una tensión sistólica menor de,Systolic blood pressure is too high to ensure risk. You should enter a systolic pressure less than,La pression systolique est trop élevée pour garantir le risque. Vous devez indiquer une pression systolique inférieure à
systolicModalSetup_Low_content,La tensión sistólica es muy baja para asegurar el riesgo. Debe introducir una tensión sistólica mayor de,Systolic blood pressure is too low to ensure risk. You must introduce a systolic pressure greater than,La pression systolique est trop basse pour garantir le risque. Vous devez entrer une pression systolique supérieure à
tensionRefuseSetup_action,Ingrese nuevos datos o rechace la solicitud.,Enter new data or decline the request.,Saisir de nouvelles données ou rejeter la demande.
tensionRefuseSetup_content,Debido a la tensión arterial esta solicitud debe ser rechazada.,Due to blood pressure this request must be refused.,"En raison de la tension artérielle, cette demande doit être rejetée."
tensionRefuseSetup_header,Rechazar:,Refuse:,Refuser:
tobacco_daily_consumption,Consumo diario,Daily consumption,Consommation quotidienne
tobacco_upper,Tabaco,Tobacco,Tabac
today_at,a las,at,à
unbalanced_upper,Descompensada,Unbalance,Déséquilibré
weight_measure,Peso (kg),Weight (kg),Poids (kg)
weightModalSetup_1_content,El peso introducido es muy bajo. Debe introducir un peso mayor de,The entered weight is too low. You must enter a weight greater than,Le poids saisi est trop faible. Vous devez entrer un poids supérieur à
weightModalSetup_2_content,kilos,kilos,kilos
weightModalSetup_action,"Por favor, asegúrese de que la cifra es correcta.",Please make sure the figure is correct.,Veuillez vous assurer que le chiffre est correct.
weigth,peso,weigth,poids
wine,vino,wine,vin
wines_upper,Vinos,Wines,Vins
years,años,years,années
