key,ES,EN
imcRefuseSetup_content,Debido a la relación peso/altura esta solicitud debe ser rechazada.,Due to the weight/height ratio this request must be rejected.
imcRefuseSetup_header,Rechazar,Refuse
inMaxRefuseSetup_action,Ingrese nuevos datos o consulte con la central.,Enter new data or check with the central.
inMaxRefuseSetup_content,Se ha excedido el límite para el cálculo de vida y este supuesto aborta el cálculo de cualquier riesgo.,The limit for life calculation has been exceeded and this assumption aborts the calculation of any risk.
inMaxRefuseSetup_header,Consulte con la central,Check with the head office
kg,kg,kg
label_cho0,Hasta 240,Up to 240
label_cho1,De 241 a 270,From 241 to 270
label_cho2,De 271 a 300,From 271 to 300
label_cho3,De 301 a 375,From 301 to 375
label_cho4,De 376 a 450,From 376 to 450
label_cho5,Más de 450,More than 450
liqueur,licor,spirit
liqueurs,licores,spirits
liqueurs_upper,Licores,Spirits
male_upper,Hombre,Male
mandatory_date_1,Fecha obligatoria,Mandatory field
mandatory_text_1,Campo obligatorio,Mandatory field
mandatory_text_10,Campo obligatorio,Mandatory field
mandatory_text_11,Campo obligatorio,Mandatory field
mandatory_text_12,Campo obligatorio,Mandatory field
mandatory_text_13,Campo obligatorio,Mandatory field
mandatory_text_14,Campo obligatorio,Mandatory field
mandatory_text_15,Campo obligatorio,Mandatory field
mandatory_text_2,Campo obligatorio,Mandatory field
mandatory_text_3,Campo obligatorio,Mandatory field
mandatory_text_4,Campo obligatorio,Mandatory field
mandatory_text_5,Campo obligatorio,Mandatory field
mandatory_text_6,Campo obligatorio,Mandatory field
mandatory_text_7,Campo obligatorio,Mandatory field
mandatory_text_8,Campo obligatorio,Mandatory field
mandatory_text_9,Campo obligatorio,Mandatory field
mass_index,Índice Masa,Mass Index 
modal_body1_span,Patología,Pathology
modal_body2_span,Patología,Pathology
modal_footer_info, © NacionalRe. Todos los derechos reservados., © NacionalRe. All rights reserved.
modal_footer_result, © NacionalRe. Todos los derechos reservados., © NacionalRe. All rights reserved.
modal_header_info,Atención,Attention
modal_header_result,Calculadora de recargos de seguros,Insurance surcharge calculator
not_consume_alcohol,No consume alcohol,Don't drink alcohol
not_consume_tobacco,No fuma,Non smoker
pipe,pipa,pipe
pipes_upper,Pipas,Pipes
pressure_upper,Tensión ,Pressure
refuse_upper,Rechazar,Refuse
reset_button,Restaurar,Reset
second_take,Segunda toma,Second blood plessure
submit_button,Tarificación,Calculate
systolic,sistólica,systolic
systolic_one_upper,Sistólica 1,Systolic 1
systolic_two_upper,Sistólica 2,Systolic 2
systolic_zero_upper,Sistólica,Systolic
systolicModalSetup_High_content,La tensión sistólica es muy alta para asegurar el riesgo. Debe introducir una tensión sistólica menor de,Systolic blood pressure is too high to ensure risk. You should enter a systolic pressure less than
systolicModalSetup_Low_content,La tensión sistólica es muy baja para asegurar el riesgo. Debe introducir una tensión sistólica mayor de,Systolic blood pressure is too low to ensure risk. You must introduce a systolic pressure greater than
tensionRefuseSetup_action,Ingrese nuevos datos o rechace la solicitud.,Enter new data or decline the request.
tensionRefuseSetup_content,Debido a la tensión arterial esta solicitud debe ser rechazada.,Due to blood pressure this request must be refused.
tensionRefuseSetup_header,Rechazar:,Refuse:
tobacco_daily_consumption,Consumo diario,Daily consumption
tobacco_upper,Tabaco,Tobacco
today_at,a las,at
unbalanced_upper,Descompensada,Unbalance
weight_measure,Peso (kg),Weight (kg)
weightModalSetup_1_content,El peso introducido es muy bajo. Debe introducir un peso mayor de,The entered weight is too low. You must enter a weight greater than
weightModalSetup_2_content,kilos,kilos
weightModalSetup_action,"Por favor, asegúrese de que la cifra es correcta.",Please make sure the figure is correct.
weigth,peso,weigth
wine,vino,wine
wines_upper,Vinos,Wines
years,años,years
